Year,Afghanistan,Algeria,Argentina,Brazil,China,France,Germany,Greece,India,Italy,Iran,Iraq,Japan,Rwanda,Russia,Saudi Arabia,South Africa,Syria,UK,USA
1983,,2298.88380549028,3530.13178314168,2762.51982011911,225.431928890812,10005.151671686,9827.02240932529,5019.87865266132,288.307169709419,7806.73900719352,3582.65155262561,2957.24051374394,10333.3400773457,260.801691106445,,10980.3999588861,2762.51982011911,1769.74095251638,8691.51881306514,15561.4263961128
1984,,2452.66463175613,2643.36939813156,2667.60496576931,250.713969046988,9432.29235681539,9277.932299307,4852.5657284733,273.901826607982,7714.18520445985,3568.50512640162,3475.09666075199,10912.8632505936,269.880708264061,,9581.51175856352,2667.60496576931,1700.47601855225,8179.19444064991,17134.2860171738
1985,,2567.49590456016,2909.51661013406,2051.82768817254,294.45884850496,9775.33943453059,9393.89169050237,4813.71117991069,293.488647100331,7964.32863738739,3805.94309129286,3753.52991089207,11599.7383673638,280.326118347233,,7877.54496747128,2051.82768817254,1540.43679136689,8652.21654247593,18269.4221684235
1986,,2740.65472375228,3595.08589823166,2380.60094329887,281.928120911563,13557.1472150713,13410.8971003707,5656.5053560681,307.395346036083,11277.6916753813,4244.98512986471,3852.14975787047,17079.5957115885,303.49728595797,,6270.23199383816,2380.60094329887,1208.00442501817,10611.112210096,19115.05290818
1987,,2790.47391888994,3546.71882015564,3048.9416662987,251.811956961329,16324.3935591631,16614.4101036952,6564.88450260813,337.063996177959,14187.7742454154,2617.51146126653,10297.4276654405,20593.5236361555,320.46821803745,,5899.61909807868,3048.9416662987,999.591906745427,13118.586534629,20100.8588916542
1988,,2402.82562714757,3969.32741166282,3289.67872915407,283.537695240524,17696.5111500917,17863.4378971386,7598.02805334994,350.672739059255,15692.7262341463,2318.5384545863,1391.81692299578,24880.2148615361,340.744364761359,,5823.47582522244,3289.67872915407,902.549558305345,15987.1680775688,21483.2330602579
1989,,2202.55809013399,2375.33910272555,3508.42616032726,310.8819124049,17704.9589834678,17697.1635135694,7846.67816401445,342.723898135939,16332.6094872764,2199.75741906322,1849.60391076699,24792.1932320318,333.288885921725,3428.76201759713,6051.33270840761,3508.42616032726,815.648516361443,16239.2821960944,22922.4370895271
1990,,2394.42038015197,4318.77469950773,3076.45538715286,317.884673040928,21795.2378254833,22219.5725271486,9600.18512965969,363.96408731972,20757.0886782131,2219.84230170291,2351.8124285881,25417.279386281,352.44013419774,3485.1122022467,7204.72865053002,3076.45538715286,988.94867216421,19095.4669984608,23954.4793548671
1991,,1721.57869577876,5715.50439657303,3224.51480295249,333.142145400184,21782.4165757732,23269.3817972445,10188.3697801238,300.0966365876,21884.1043714643,,,28874.358963953,271.081437945641,3485.05600012759,7838.78402438878,3224.51480295249,1013.0012864652,19900.7266505069,24405.1648147489
1992,,1766.05467841426,6798.02676272931,3418.3044283042,366.460692302073,23937.0565108823,26333.537444515,11176.4584362517,313.860110097612,23166.8040626832,,,31376.1378555962,302.756164532316,3095.6597791412,7888.2095628755,3418.3044283042,1005.04136425569,20487.1707852878,25492.9516517617
1993,,1797.52356051118,6940.35035806909,3332.73505179836,377.389839479958,22503.2600896251,25488.5195189314,10401.9829861914,298.217663832944,18676.9525789183,1080.56123255519,,35865.6559340372,312.945155061263,2929.46211857553,7445.11549239045,3332.73505179836,1009.71641083513,18389.0195675099,26464.852511744
1994,,1499.97150457383,7449.48038977242,3390.49433055186,473.492278718042,23625.5297934042,27087.5584535617,11091.2838606376,342.717518681165,19273.8441700103,1202.86832673178,,39268.5668686204,125.49949175734,2663.3945990755,7382.13216628019,3390.49433055186,725.608592071928,19709.2380983653,27776.635528226
1995,,1444.90803609489,7373.42824568235,3693.68170544455,609.656679202484,27037.9725860291,31729.6997633451,12959.3243186619,370.101355304522,20596.3885757596,1591.71606567936,,43440.3678678967,218.20478930012,2665.73972189559,7650.73936856045,3693.68170544455,794.445153001817,23013.4588199274,28782.1750200918
1996,,1596.02986731002,7683.57406483774,3440.86422316801,709.413755085039,27015.2580548789,30564.2478058387,13749.1151520996,396.014612285948,23020.0999399922,1955.14602857029,,38436.9263119118,226.050188548887,2643.89769649787,8293.22070270384,3440.86422316801,934.550565691747,24219.6228487767,30068.2309182833
1997,,1612.00930288912,8172.66432306173,3495.11122228324,781.744164341053,24359.4226244834,27045.7191273318,13427.8324937945,411.38772078537,21779.6243667018,1816.58669402593,,35021.7190917159,283.87762349709,2737.55666234068,8508.51866204206,3495.11122228324,955.709176087982,26621.4800592777,31572.6902298492
1998,,1588.48144916691,8248.76198864344,3104.97640984816,828.580479295681,25101.3699881272,27340.6728848884,13472.1376415276,409.194385866071,22252.358086231,1725.75627755951,,31902.7670955137,281.784162727601,1834.84693733287,7382.16060006263,3104.97640984816,974.275191685123,28014.8946994953,32949.1977640346
1999,,1581.00456398017,7736.36962254054,3032.30539688171,873.28706172579,24799.2947798205,26795.9911316814,13245.1894634121,437.586117820136,21936.8231293509,1749.82778276128,,36026.5560750168,239.378126787205,1330.75146395036,7968.54857441997,3032.30539688171,991.12042869086,28383.6689052533,34620.9288990826
2000,,1757.01779715994,7669.27391554066,2982.00042596137,959.372483639691,22465.6411038272,23718.746699471,12042.9537310995,438.864630447013,20051.2421548342,1657.16974761083,,38532.0408752935,216.172747044553,1771.58660190996,9126.95427680596,2982.00042596137,1177.62926773348,27982.3557635787,36449.8551155349
2001,117.409690794955,1732.85797888376,7170.69467365192,2621.55443743349,1053.10824300452,22527.3181180994,23687.3168928198,12538.1788278361,447.013896579033,20400.8111115225,1890.99152595464,,33846.4656414342,201.056965408625,2100.36238594042,8643.49400482948,2621.55443743349,1258.42195289081,27427.58750236,37273.6181034176
2002,187.845094955388,1774.0336730152,2579.19316821209,2461.35508651066,1148.5082904417,24275.2426027905,25205.164445175,14110.3133911078,466.200804226316,22196.5067547222,1892.03614332689,,32289.3505360726,196.509707780789,2375.05904394498,8655.31153127218,2461.35508651066,1263.01345505567,29785.986287584,38166.0378407812
