Year,Albania,Algeria,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Costa Rica,Cote d'Ivoire,Croatia,Curacao,Cyprus,Czech Republic,Democratic Republic of Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Estonia,Ethiopia,Fiji,Finland,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guinea-Bissau,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Lithuania,Luxembourg,Macao,Macedonia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Mauritania,Mauritius,Mexico,Moldova,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,Norway,Oman,Pakistan,Palestine,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saint Kitts and Nevis,Saint Lucia,Saint Vincent and the Grenadines,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovakia,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe
1950,,,,,,2600.2993,,,12282.998,5246.9312,,,,,,,7139.939,,,,,2201.563,,,1509.8824,,,,,,,,11186.318,,,,,,,3118.0522,,,3229.2371,,,,2943.5461,,1968.9836,9305.4785,,,,3044.3752,626.48737,1613.5118,,,414.22104,,5839.8755,6849.999,,,,4643.5112,,,,2099.7407,,,,2108.802,,,8076.3271,841.39923,,,,4853.6875,5140.3457,4076.8054,,2530.6658,,,1509.1199,,,,,,,,,12737.883,,,,,,,,,,4620.7275,4487.7998,,,,,1252.4442,,,,,7835.3999,10702.95,3271.9333,,2633.4976,8509.9873,,1267.7638,,1984.4452,,2061.8445,1352.0715,,2649.24,,,,,,,,,,,,,,,,,,5200.7158,,3432.3257,2542.4768,,,,9136.6416,14172.437,,,,,1084.7904,,5280.3335,,3101.5332,,,827.65448,,,9354.2959,14569.096,5899.4688,,5435.6143,,,,
1951,,,,,,2608.6318,,,11561.024,5512.0391,,,,,,,7406.54,,,,,2336.6833,,,1511.3116,,,,,,,,11304.809,,,,,4154.3931,,3068.198,,,3244.0891,,,,3058.4482,,2255.9053,9073.2695,,,2212.4141,3069.4133,641.51685,1573.9303,,,463.25787,,6513.0107,7164.561,,,,5114.6157,,3386.5408,,2071.2405,,,,2111.5491,,,7801.8613,861.47028,,,,4918.7222,5955.4785,4413.1992,,2754.3992,,,1748.6736,,,,,,,,,13413.831,,,,,,,,,,4626.6353,4723.7607,,,,,1226.8829,,,,,8090.6123,9640.2705,3629.3398,,2775.1907,8877.458,,1262.0482,,1913.9783,1793.6652,2167.0757,1348.3982,,2937.8635,,,,,,,,,,,,,,,,,,5289.7808,,4010.4631,2678.7837,,,,9337.2783,15209.594,,1589.0175,,,1017.95,,5687.4644,,3737.2642,,,1004.7547,,,9624.0811,15392.32,6857.5845,,5765.9346,,,,
1952,,,,,,2332.4087,,,11111.49,5664.1211,,,,,,,7527.6045,,,,,2276.1094,,,1624.7908,,,,,,,,11900.952,,,,,4410.8315,1072.839,3171.8223,,,3551.5273,,,,3348.5081,,2373.48,9197.2832,,,2256.9478,3267.4329,603.09406,1651.7996,,,469.06461,,6596.8906,7306.8262,,,,5555.6348,,3270.8904,,2063.2307,,,,2060.4346,,,7597.3101,873.0033,,,,5118.5718,5294.1821,4528.5869,,2983.0779,,,1571.3936,,,,,,,,,14670.81,,,,,,,,,,4598.481,4787.4014,,,,,1274.0981,,,,,8188.0938,9863.2871,4068.833,,2988.4771,9230.418,,1212.23,,2006.047,1706.6143,2235.344,1431.11,,3044.1665,,,,,,,,,,,,,,,,,,4809.0493,,4166.0879,2490.2446,,,,9353.9639,15015.441,,1706.5142,,,985.90491,,5830.7817,,4074.0762,,,924.09192,,,9560.6494,15640.824,6432.561,,6327.9722,,,,
1953,,,,,,2439.375,,,12323.385,5943.1113,,,,,,,7723.5298,,,,,1841.4871,,,1625.7939,,,,,,,,12132.623,,,,,4440.354,1189.8024,3336.925,,,4100.478,,,,3722.2913,,2641.2695,9718.8516,,,2200.1462,3386.5562,588.95483,1725.6301,,,493.86542,,6444.7466,7539.25,,,,5992.0977,,3691.3625,,2066.7576,,,,2146.6821,,,8599.5098,903.9762,,,,5245.5342,5098.7344,4829.3013,3249.1072,3069.7446,,,1453.6486,,,,,,,,,13176.89,,,,,,,,,,4389.5337,4590.2207,,,,,1268.6534,,,,,8769.292,9936.4551,4167.0264,,2847.8457,9597.2236,,1235.9426,,2107.7417,1584.0127,2294.584,1551.5646,,3180.5046,,,,,,,,,,,,,,,,,,5189.3135,987.60455,3982.0105,2464.9514,,,,9633.542,15410.788,,1820.7499,,,882.38257,,5895.2324,,4438.7686,,,742.17108,,,10023.388,16093.898,6641.4575,,6236.8477,,,,
1954,,,,,,2503.2183,,,12957.638,6368.3569,,,,,,,8045.1558,,,,,1878.9253,,,1715.1316,,,,,,,,11717.3,,,,,4656.603,1068.9464,3541.0166,,,4119.4692,,,,4146.4644,,2680.4602,9956.374,,,2339.0146,3676.5874,595.81879,1688.427,,,489.18375,,7086.7051,7913.7588,,,,6479.2505,,3716.6035,,2037.5037,,,,1931.7637,,,9285.5449,926.55969,,,,5327.4468,5925.2485,5005.9888,3566.6011,3194.9885,2181.084,,1555.2646,,,,,,,,,12713.031,,,,726.88422,,,,757.90302,,4189.4863,4947.4775,,,,,1301.2936,,,,,9185.4697,10721.749,4389.2583,,3029.6421,9754.3604,,1217.2192,,2181.7661,1679.176,2379.4121,1617.9122,,3293.7673,,,,,,,,,,,,,,,,,,5512.5615,1012.9329,4467.3735,2562.9224,,,,10086.956,16279.411,,1917.5441,,,931.67029,,6080.7866,,3950.2209,,,788.23627,,,10373.893,15756.412,7229.105,,6617.6489,,,,1608.9381
1955,,,,,,2636.332,,,13298.647,6989.8501,,,,,,,8354.7041,,,,,2008.0735,,,1791.8883,,,,,,,,12429.252,,,,,4463.813,1168.6884,3560.8621,,,4327.0483,,,,4229.5479,,2807.5347,9831.3359,,,2286.8171,3733.9758,604.42969,1724.121,,,491.27029,,7582.1191,8272.9287,,,,7355.8149,3603.7913,3945.0283,,1992.176,,,,1907.3972,,,10282.017,931.11743,,2574.6235,,5497.2363,6508.0713,5318.5649,3864.0112,3411.9163,1734.1313,,1603.3361,,,,,,,,,13506.148,,,,759.78223,2144.4072,,,779.41937,,4265.0938,5200.2578,,,,,1250.8392,,,,,9843.7998,10883.321,4579.6558,,3208.3579,9979.1855,,1171.6591,,2283.2322,1759.0658,2443.0,1699.7253,,3389.4692,,,,,,,,,,,,,,,,,,5597.5991,1073.8634,4669.9365,2704.6228,,,,10305.397,17306.256,,1989.7933,,,834.88171,,6696.439,,4194.5649,,,774.2298,,,10766.068,16666.355,7330.9541,,6744.7095,,,1217.2538,1613.408
1956,,,,,,2657.2512,,,13162.046,7489.9609,,,,,,,8555.5527,,,,,1857.4048,,,1802.1897,,,,,,,,13143.953,,,,,4303.2896,1200.0706,3528.155,,,4054.9792,,,,4645.1797,,2840.6545,9986.4629,,,2380.5532,3739.9634,611.65186,1778.9988,,,505.72598,,7635.3066,8608.1299,,,,7869.8604,3610.0535,4267.145,,2068.4626,,,,2092.6111,,,10074.53,955.17535,,2736.8606,,5464.7383,6880.0884,5489.1069,4236.1753,3609.3303,2404.8975,,1614.939,,,,,,,,,14811.331,,,,798.06122,2224.3472,,,1035.301,,4263.3862,5399.6929,,,,,1245.5592,,,,,10105.561,10914.868,4425.9893,,3029.9875,10265.88,,1223.4226,,2317.8279,1764.4285,2463.9507,1711.3372,,3517.436,,,,,,,,,,,,,,,,,,5803.4238,1075.7404,4969.4551,2455.7817,,,,10568.197,18310.848,,2029.5502,,,848.42175,,7264.2896,,4104.7021,,,763.26202,,,10947.344,16746.922,7210.8779,,6982.8062,,,1340.5245,1706.7051
1957,,,,,,2748.3992,,,12961.374,7869.4209,,,,,,,8635.002,,,,,1791.9556,,,1906.559,,,,,,,,13025.461,,,,,4641.9248,1206.443,3409.3296,,,4189.8511,,,,4611.8481,,2750.9404,10453.609,,,2465.4302,3756.5686,622.40955,1817.2959,,,492.6412,,7625.1011,8993.5381,,,,8259.2988,3415.5493,4565.2417,,2110.7163,,,,2071.0588,,,9897.0635,941.17499,,3104.4678,,5466.3364,7064.8188,5692.8047,4720.292,3834.9121,2400.4033,,1642.6743,,,,,,,,,15266.602,,,,844.92841,2212.24,,,993.72046,,4329.1963,5628.189,,,,,1198.6228,,,,,10350.82,11137.951,4652.5664,,3106.1602,10655.331,,1195.8031,,2497.7261,1737.4747,2592.4502,1769.6461,,3650.9734,,,,,,,,,,,,,,,,,,6000.3228,1146.0659,5138.8374,2488.448,,,,10698.393,18694.725,,2108.2534,,,932.36584,,7811.9756,,4854.5171,,,862.04968,,,11114.774,16798.568,7334.5942,,7321.1309,,,1493.6475,1822.1448
1958,,,,,,2907.3999,,,13733.637,8162.041,,,,,,,8456.3232,,,,,1688.3788,,,1956.1989,,,,,,,,12983.424,,,,,4712.7544,1160.0708,3296.4644,,,4535.8091,,,,3937.6812,,2679.2139,10574.749,,,2341.7034,3718.6213,623.82788,1829.4655,,,487.68448,,7573.916,9177.9521,,,,8472.2168,3518.9172,4751.2358,,2151.3979,,,,2089.5098,,,10683.835,981.2309,,3432.6265,,5417.0,7271.5903,5908.2593,4728.4097,4075.9973,2612.8481,,1608.6178,,,,,,,,,14674.871,,,,840.8526,2147.5176,,,1214.7357,,4100.644,5721.062,,,,,1244.6692,,,,,10161.542,11277.969,4542.6519,,3311.4531,10487.658,,1169.4067,,2481.4873,1800.0905,2492.5442,1781.6696,,3653.7668,,,,,,,,,,,,,,,,,,5863.355,1153.7533,5311.1001,2543.6331,,,,10894.359,17778.391,,2179.6792,,,929.62384,,8417.6865,,5205.5117,,,805.30377,,,11110.438,16344.845,6840.7212,,7412.1729,,,1424.2522,1765.5637
1959,,,,,,2693.7075,,,14318.362,8406.6279,,,,1356.1826,,,8665.5547,,1516.6963,,,1760.4386,,,1988.6837,,,,737.81073,,,,13189.26,,,,,4558.5083,1059.9395,3381.9724,,,4397.3906,,,,4113.7998,,2617.9146,11398.818,,,2536.1702,3814.6575,665.53326,1839.7947,,,509.78247,,8092.1567,9334.7559,,,,9131.1523,3980.9138,4893.0347,,2205.6919,2751.9348,,,2092.5842,,,10732.998,977.89484,,3767.6318,,5667.1563,7951.9736,6290.7671,4767.4688,4419.0586,2887.9744,,1518.262,,,,,,,,,14585.796,,,,797.0647,2234.8379,,,1345.5105,,4148.9404,5686.1992,,,,,1266.0723,,,,,10594.616,11566.386,4484.0977,,3577.0535,10661.563,,1228.4856,,2570.0952,1770.6136,2476.3862,1907.5098,,3829.1387,,,,,,,,,,,,,,,,,,5793.9976,1138.7772,5133.7441,2607.5303,,,,11468.05,18908.346,,2288.1082,,,998.40491,,8805.7051,,4925.2256,,,823.43701,,,11433.395,17258.064,6540.6875,,7469.6724,,,1573.5571,1936.2521
1960,,9434.9805,,,,2851.4932,,,14223.364,8984.2012,,,,1429.3021,8310.4873,,9100.0879,,1616.8395,,,1771.0376,,404.67816,2114.1973,,,,724.34338,676.56696,,1423.167,13360.911,1118.381,,1398.4736,1314.3821,4735.4282,1014.103,3471.8342,1850.3658,1702.6969,4583.8696,1599.2024,,,3868.5146,,2708.6084,12026.708,,,2921.1987,3962.7563,685.77332,1798.604,954.43945,,522.51807,2774.9836,8861.0986,10020.233,3478.7544,2509.9246,,9937.0781,4230.5059,4950.3174,,2188.2822,2985.2769,763.46191,1328.2181,2014.8521,4599.3965,,10857.975,1040.9971,1281.8174,3790.7129,,5972.0024,8205.29,6844.2095,4937.7422,4954.4229,2916.4209,,1599.2924,,,,,,951.40869,,,15757.448,,,1438.0781,849.53461,2374.5398,,703.97052,718.98798,1111.8704,3653.9246,5919.7603,,,,,1257.6625,493.69632,,3845.6238,701.32959,11461.349,12835.856,4366.6982,1367.9337,4034.9255,10814.535,,1203.9335,,2647.2249,1780.5514,2661.1257,1854.1296,,4079.9121,,1364.3422,,961.62921,,,,,,2618.5459,,5574.1699,,2644.9941,,,,5913.8052,1113.2512,5676.5923,2694.4055,,,,11766.137,20086.094,2390.3308,2376.915,,1173.8978,1074.2922,1115.0441,9446.2422,1673.0393,4691.5938,,,789.1344,,,11909.774,17462.627,6731.7788,,6749.8521,,,1665.9827,1990.9238
1961,,8153.2876,,,,2897.1411,,,14303.397,9427.8545,,,,1391.0798,8615.1914,,9550.5654,,1601.02,,,1785.9019,,429.66925,2338.2324,,,,681.06201,570.27051,,1441.5742,13637.749,1301.4117,,1487.1711,1353.9384,4467.5171,888.36005,3574.2393,1943.733,1559.0662,4337.5786,1624.1178,,,4324.2222,,2239.6978,12707.88,,,2770.7546,4035.2048,699.88702,1851.6393,949.84558,,533.05347,2744.6753,9680.6182,10389.704,3721.8611,2282.9067,,10251.002,3991.5024,5598.5,,2229.304,3133.9912,793.45813,1263.0327,2029.9943,4674.3779,,11137.87,1052.0825,1386.2422,3936.4124,,6278.5156,8830.1953,7372.1318,5120.853,5454.1348,3328.0618,,1535.3315,,,,,,947.83606,,,15583.272,,,1481.7201,850.32178,2522.7842,,687.94537,709.71539,943.13409,3968.7161,5901.6875,,,,,1563.6268,491.86661,,3748.2844,690.19293,11571.952,13285.427,4541.8105,1429.257,3892.7297,11339.486,,1224.6,,2857.21,1851.7894,2769.7563,1888.1259,,4306.5518,,1490.6924,,915.08594,,,,,,2589.1316,,5444.2783,826.60797,2915.6033,,,,6008.9365,1156.688,6294.8828,2598.7432,,,,12459.803,21175.193,2444.1111,2442.457,,1187.6589,1107.9802,1182.3081,10736.383,1696.0359,4649.2778,,,782.74963,,,12114.008,17616.137,6739.9238,,6721.124,,,1670.3367,2040.2419
1962,,4560.3296,,,,2903.8455,,,14820.865,9630.5879,,,,1445.7754,8882.252,,10008.563,,1522.4913,,,1816.3291,,455.41388,2442.8806,,,,724.85577,607.51764,,1427.4465,14248.734,1068.5264,,1456.6016,1524.3359,5449.7437,963.01813,3623.3862,2293.9954,1965.7955,4462.2202,1645.6744,,,5115.4585,,2674.8777,13214.334,,,2949.679,4074.3638,719.06683,2015.7711,968.09686,,543.6778,2698.0361,9799.1689,10876.585,4119.6968,2231.7825,,10530.342,3921.1047,5466.0732,,2233.1199,3172.7124,773.3645,1312.4564,2062.3174,4950.687,,11411.588,1072.551,1326.2983,4130.1953,,6411.3818,9165.2402,7737.3896,5145.8701,5922.7617,3218.2695,,1605.1807,,,,,,1076.2661,,,15119.763,,,1523.4059,844.99487,2628.9802,,672.40582,1058.6644,1024.6846,4198.8335,5937.1782,,,,,1747.1377,524.61945,765.65826,4165.0918,698.07599,11910.418,13348.076,4980.0938,1561.0557,3882.7266,11457.05,,1271.2202,,3016.8772,1775.2699,2929.8083,1971.6172,,4613.2266,,1622.676,,1006.0178,,,,,,2544.2849,,5712.3447,925.15326,3277.1223,,,,6119.667,1130.3643,6856.0879,2706.8059,,,,12884.479,21603.67,3107.9561,2550.5256,,1267.0392,1135.8514,1189.1445,10528.711,1686.9453,4820.5742,,,778.84418,,,12153.007,18395.605,6725.061,,6972.6826,,,1581.4709,1960.4124
1963,,5098.9067,,,,2758.0132,,,15573.809,9960.4346,,,,1505.0839,8760.8418,,10322.027,,1572.2695,,,1889.8828,,469.08011,2533.6816,,,,698.73785,623.15161,,1495.1403,14726.369,857.76459,,1345.119,1352.2539,5523.7388,1044.5938,3614.8711,2430.2078,2125.5588,4573.1929,1795.0145,,,5122.6348,,2511.0701,13314.088,,,2764.5459,4038.4524,759.11072,2017.8763,1094.8676,,546.84589,2987.2297,9809.7324,11398.362,4903.0068,2320.1958,,10672.056,4169.5049,6163.3936,,2306.8147,3230.9556,826.05328,1276.6125,2035.9855,5404.3452,,12528.097,1120.667,1179.5504,4206.2144,,6663.1719,9791.6602,8033.833,5436.7358,6349.9199,3304.5417,,1593.5281,,,,,,1180.9491,,,15104.167,,,1483.168,838.74756,2731.5933,,647.21802,131.30023,1082.7144,4218.7783,6280.0747,,,,,1994.1656,522.69427,846.31891,4325.9956,693.52911,11850.45,13823.633,5275.791,1671.3013,4020.8237,11763.857,,1323.566,,3166.9929,1806.0298,3004.8325,2030.2522,,4850.6914,,1745.2415,,879.65076,,,,,,2488.1013,,6115.0591,979.90942,3726.897,,,,6466.6465,1228.2516,7445.3164,2551.8757,,,,13483.36,22122.549,2630.6201,2725.4612,,1330.1071,1178.2715,1240.275,11184.108,1819.7324,5163.0869,,,774.15424,,,12547.729,18943.342,6514.7173,,7222.311,,,1614.9268,1944.1302
1964,,5185.519,,,,2853.7334,,,16042.415,10375.796,,,,1466.3837,8670.7783,,10947.245,,1622.4962,,,1961.6992,,492.21054,2572.0742,,,,718.57928,611.82202,,1525.9526,15471.963,896.09851,,1378.7678,1339.4064,5587.7729,1151.1427,3799.0706,2692.125,2210.1956,4663.7515,2001.2402,,,4341.2441,,2232.6433,14307.674,,,2766.8389,4233.7686,837.60443,2093.8306,1100.5781,,569.02246,3348.3999,10069.607,12023.938,5416.1553,2488.6526,,11381.147,4349.708,6587.2588,,2324.2493,2957.1921,875.8205,1243.4521,2089.4089,5750.4565,,13817.988,1177.9005,1105.8484,4244.7896,,6834.1685,10296.167,8188.6162,5606.4492,6997.4419,3649.5769,,1683.9534,,,,,,1243.8123,1504.208,,16153.123,,,1477.1736,815.72681,2889.5935,,512.45007,779.78033,1640.6818,4679.5225,6907.6812,,,,,2068.9932,532.45905,778.53894,4771.3291,754.37854,13046.359,14155.784,5756.7866,1616.1141,4185.2046,12404.318,,1387.0475,,3229.5339,1828.3756,3113.0542,2012.1537,,5024.8594,,1841.2699,,769.15662,,,,,,2493.0884,,6446.8735,993.32941,3673.3521,,,,6738.9941,1298.9198,7755.4473,2642.6414,,,,14372.074,23025.604,3153.8379,2947.7324,,1492.3311,1238.3463,1401.7101,11821.259,1832.8494,5211.917,,,816.40906,,,13232.417,19808.615,6683.5425,,7757.3745,,,1792.588,1836.1512
1965,,5480.4106,,,,3157.0315,,,15928.881,10633.069,,,,1419.5295,9011.6377,,11231.58,,1716.1689,,,2035.9391,,461.95169,2657.8242,,,,712.56854,622.57056,,1586.9247,16148.74,914.30835,,1357.1343,1371.2365,5273.7651,1236.5098,3699.5525,2755.3057,2139.729,4994.6255,1831.5599,,,5558.6729,,2488.0088,14820.646,,,2503.8411,4246.9004,847.49561,2151.8774,1183.8796,,597.77344,2788.9705,10682.626,12474.941,5973.7529,2715.9487,,11860.943,4170.8843,7275.4072,,2357.6377,3011.6472,917.40277,1229.4078,2177.6072,6374.4546,,14833.294,1134.0625,1301.6978,4743.1816,,6907.7593,9980.0283,8349.9951,5670.2031,7352.5288,3912.3396,,1718.7889,,,,,,1243.2018,1566.8689,,16207.082,,,1436.501,924.1438,3010.135,,545.68311,1815.1593,1901.9631,4300.5674,7060.5703,,,,,1989.1953,525.17975,820.49414,4836.1201,729.11407,13420.355,14783.091,6280.8247,1639.3525,4266.5879,13005.87,,1481.1522,,3421.7104,1903.5239,3224.3801,2042.4657,,5376.002,,2012.0354,,796.08527,,,,,,2442.1118,,5909.6792,998.55627,3917.4224,,,,6944.1362,1332.7698,8111.1587,2559.8381,,,,14697.609,23380.588,3045.426,3187.4626,,1461.942,1340.0438,1563.8835,11497.294,1865.5493,5212.5894,,,800.4967,,,13493.957,20839.193,6604.4746,,7779.6987,,,2103.6753,1960.6359
1966,,4694.4355,,,,3179.866,,,16717.168,11097.729,,,,1404.8757,9484.5996,,11468.944,,1721.8553,,,2148.8835,,497.0675,2708.3569,,,,710.61255,626.90863,,1632.677,16913.473,1108.9882,,1307.7888,1287.7813,5790.2261,1246.4169,3792.793,2987.8086,1934.0336,5113.0713,1960.6232,,,5772.4004,,2586.9126,15078.858,,,2502.593,4250.2036,848.94653,2211.3665,1287.2317,,606.52374,2797.9009,10963.74,13037.009,5480.5342,2681.7881,,12096.437,4012.6057,7782.5444,,2437.6807,3013.0576,836.68536,1209.0748,2179.6785,6595.084,,15596.406,1105.7721,1060.6898,5016.6694,,6997.1455,10739.057,8759.8027,5648.2505,8036.9883,3926.8726,,1833.179,,,,,,1293.274,1655.3835,,16344.915,,,1449.2791,1038.0396,3121.6926,,534.15613,2084.2834,1882.1774,4298.0542,7274.436,,,,,1873.2538,515.02313,799.31879,4971.3896,770.20892,13490.457,15465.34,6177.9087,1586.1925,3808.7244,13363.947,,1589.087,,3585.3003,1854.6711,3373.5352,2064.4045,,5520.8232,,2107.5798,,838.57123,,,,,,2471.4143,,5615.4404,1001.7424,4324.4248,,,,7061.9243,1481.2399,8629.6143,2708.9033,,,,14804.613,23739.51,2647.2625,3369.7427,,1529.933,1521.516,1671.7064,11946.483,1895.0267,5878.7183,,,820.33649,,,13708.993,21929.809,6791.4023,,7548.52,,,2126.0227,1863.996
1967,,5159.3838,,,,3241.2068,,,17157.479,11351.078,,,,1328.6544,10419.95,,11843.817,,1746.5383,,,2269.1008,,569.98846,2855.3679,,,,767.87103,688.72821,,1462.0641,17083.125,1196.5786,,1261.214,1220.7581,6001.7744,1258.5437,3823.2085,3217.6328,1922.6976,5188.5645,1966.2958,,,6379.7324,,2300.2454,15755.3,,,2508.3792,4449.2007,856.79712,2283.509,1415.9653,,604.07776,3130.8105,11219.231,13582.689,5900.647,2571.9224,,11912.453,3631.4673,8078.002,,2482.3477,2866.73,944.69019,1159.5308,2192.5566,6632.981,,14813.299,1164.2792,1110.4763,5459.9546,,7377.1445,10569.403,9336.2207,5579.3218,8787.7988,3813.1042,,1844.4823,,,,,,1364.4547,1703.7004,,16928.205,,,1479.6475,1036.1827,3130.4797,,541.26746,2281.4004,2004.755,4552.0044,7430.0132,,,,,1886.2068,565.31738,716.88757,4837.4614,736.24933,14072.765,14523.813,6418.0728,1585.6663,3286.9478,14096.889,,1577.4069,,3810.1765,1954.0715,3442.2864,2047.8191,,5942.0176,,2328.1658,,869.01752,,,,,,2382.9617,,5842.9902,927.87549,4911.1938,,,,7392.7368,1527.1873,8944.7754,2673.323,,,,15255.835,24260.336,2879.2407,3657.1035,,1560.6233,1516.7384,1703.525,12551.344,1857.4907,5908.9893,,,782.14484,,,13950.969,22214.24,6520.751,,7550.6792,,,2438.3408,1824.5564
1968,,5618.4873,,,,3289.5591,,,18118.461,11782.448,,,,1344.123,10735.028,,12300.603,,1837.8466,,,1961.4752,,622.7644,3068.2261,,,,787.11304,681.39606,,1491.8082,17728.109,1291.2596,,1407.7284,1190.5154,6034.5845,1190.1298,3960.2295,2980.6375,2114.8577,5352.0674,2131.282,,,6550.6753,,2406.9832,16559.967,,,2384.2224,4530.6748,921.97308,2310.4697,1480.8086,,619.84314,3443.1187,11774.281,14061.387,5955.7954,2684.9417,,12543.834,3552.5273,8593.877,,2622.0286,2822.6257,968.00647,1167.6964,2267.8577,6839.7681,,13509.718,1188.2876,1132.4595,5853.0708,,7914.876,10797.225,9883.7393,5552.4966,9796.959,3436.085,,1780.4462,,,,,,1339.175,1710.444,,17768.682,,,1562.0598,1031.0916,3199.1777,,573.83063,2592.2034,2247.073,3638.3499,7830.0386,,,,,1962.6962,575.27441,735.22437,4875.6211,726.25604,14842.305,14328.99,6322.5288,1575.774,3411.606,14489.142,,1615.1089,,3972.4812,1956.6631,3336.499,2116.1099,,6730.4805,,2436.6814,,907.7605,,,,,,2345.6924,,6713.9395,1009.4183,5406.3442,,,,7430.7251,1670.3484,9455.5479,2841.5359,,,,15697.446,24881.762,2917.1838,3923.8928,,1616.8549,1578.7266,1706.7466,13350.457,1969.7214,6193.439,,,800.75714,,,14465.205,23027.475,6556.3955,,8139.0542,,,2538.7192,1632.7805
1969,,6007.5474,,,,3562.4231,,,19066.996,12333.82,,,,1373.2803,12353.303,,13034.069,,1863.4969,,,1983.1693,,580.99445,3043.8882,,,,799.60675,644.52295,,1561.2109,18394.381,1375.8201,,1385.3645,1192.0914,6332.3037,1273.5773,4115.2007,2839.3979,2275.8572,5496.7139,2225.5405,,,7417.1475,,2609.2849,17545.76,,,2507.4214,4517.2065,976.36487,2315.1672,1530.8346,,647.06525,3488.5391,12968.76,14941.137,6300.7539,2543.4485,,13435.723,3736.4915,9551.46,,2713.8406,2746.3889,1046.9149,1189.4974,2196.5598,7476.0063,,14081.713,1281.6818,1147.8566,6226.0107,,8270.9121,12118.502,10426.123,5720.8105,10870.652,3389.3779,,1838.9222,,,,,,1312.2931,1776.7737,,20160.836,,,1580.1295,1078.0328,3233.1064,,575.86121,2732.9333,2156.3857,3621.6641,7883.0664,,,,,2134.9082,593.57629,750.09314,5088.6323,750.92474,15936.525,15678.449,6442.4473,1419.2628,4366.5508,14937.827,,1697.0055,,4214.9292,2005.3845,3399.6475,2168.4607,,6944.7725,,2569.3589,,972.19,,,,,,2065.0803,,6152.5801,1060.3309,6270.4404,,,,7755.8389,1857.077,10241.738,2971.7195,,,,16329.869,25958.949,3357.0813,4131.2617,,1647.1307,1696.2559,1874.04,14457.222,2007.9993,6346.4531,,,851.17517,,,14688.195,23530.121,6937.8936,,8324.8477,,,2344.1611,1986.8439
